X=  0.00000, Y=  0.00000, th=  3.14159 
X=  -367.49384, Y=  -0.08865, th=  -3.13523 
X=  -368.22687, Y=  -0.09215, th=  -3.13841 
X=  -368.95990, Y=  -0.09565, th=  -3.13523 
X=  -369.93727, Y=  -0.10187, th=  -3.13523 
X=  -370.91463, Y=  -0.10810, th=  -3.13523 
X=  -371.40332, Y=  -0.11121, th=  -3.13523 
X=  -372.38068, Y=  -0.11743, th=  -3.13523 
X=  -373.11371, Y=  -0.12093, th=  -3.13841 
X=  -374.09109, Y=  -0.12404, th=  -3.13841 
X=  -375.06847, Y=  -0.12715, th=  -3.13841 
X=  -375.80150, Y=  -0.13065, th=  -3.13523 
X=  -376.53453, Y=  -0.13415, th=  -3.13841 
X=  -377.26756, Y=  -0.13765, th=  -3.13523 
X=  -378.24492, Y=  -0.14387, th=  -3.13523 
X=  -378.97795, Y=  -0.14737, th=  -3.13841 
X=  -379.95533, Y=  -0.15048, th=  -3.13841 
X=  -380.68836, Y=  -0.15398, th=  -3.13523 
X=  -381.66573, Y=  -0.16020, th=  -3.13523 
X=  -382.39876, Y=  -0.16370, th=  -3.13841 
X=  -383.13179, Y=  -0.16720, th=  -3.13523 
X=  -384.10915, Y=  -0.17342, th=  -3.13523 
X=  -384.84218, Y=  -0.17692, th=  -3.13841 
X=  -385.81956, Y=  -0.18003, th=  -3.13841 
X=  -386.55259, Y=  -0.18353, th=  -3.13523 
X=  -387.52996, Y=  -0.18975, th=  -3.13523 
X=  -388.01864, Y=  -0.19286, th=  -3.13523 
X=  -388.99600, Y=  -0.19908, th=  -3.13523 
X=  -389.97337, Y=  -0.20530, th=  -3.13523 
X=  -390.70640, Y=  -0.20880, th=  -3.13841 
X=  -391.68378, Y=  -0.21191, th=  -3.13841 
X=  -392.41681, Y=  -0.21541, th=  -3.13523 
X=  -393.39417, Y=  -0.22163, th=  -3.13523 
X=  -394.12720, Y=  -0.22513, th=  -3.13841 
X=  -394.86023, Y=  -0.22863, th=  -3.13523 
X=  -395.83759, Y=  -0.23485, th=  -3.13523 
X=  -396.57062, Y=  -0.23835, th=  -3.13841 
X=  -397.54800, Y=  -0.24146, th=  -3.13841 
X=  -398.52538, Y=  -0.24457, th=  -3.13841 
X=  -399.25842, Y=  -0.24574, th=  -3.14159 
X=  -400.23581, Y=  -0.24574, th=  -3.14159 
X=  -400.96884, Y=  -0.24691, th=  -3.13841 
X=  -401.70188, Y=  -0.24807, th=  -3.14159 
