X=  962.34452, Y=  2600.41441, th=  -0.00324 
X=  963.25209, Y=  2600.41147, th=  -0.00324 
X=  964.61344, Y=  2600.40706, th=  -0.00324 
X=  965.52100, Y=  2600.40412, th=  -0.00324 
X=  966.42857, Y=  2600.40118, th=  -0.00324 
X=  967.78992, Y=  2600.39676, th=  -0.00324 
X=  968.69749, Y=  2600.39382, th=  -0.00324 
X=  969.83194, Y=  2600.38831, th=  -0.00648 
X=  970.96639, Y=  2600.38279, th=  -0.00324 
X=  971.87395, Y=  2600.37985, th=  -0.00324 
X=  972.78152, Y=  2600.37691, th=  -0.00324 
X=  974.14287, Y=  2600.37249, th=  -0.00324 
X=  975.05044, Y=  2600.36955, th=  -0.00324 
X=  976.18489, Y=  2600.36404, th=  -0.00648 
X=  977.31934, Y=  2600.35852, th=  -0.00324 
X=  978.22690, Y=  2600.35558, th=  -0.00324 
X=  979.13447, Y=  2600.35264, th=  -0.00324 
X=  980.26892, Y=  2600.34712, th=  -0.00648 
X=  981.40337, Y=  2600.34161, th=  -0.00324 
X=  982.53782, Y=  2600.33609, th=  -0.00648 
X=  983.44537, Y=  2600.33021, th=  -0.00648 
X=  984.57982, Y=  2600.32469, th=  -0.00324 
X=  985.48739, Y=  2600.32175, th=  -0.00324 
X=  986.62184, Y=  2600.31623, th=  -0.00648 
X=  987.52939, Y=  2600.31035, th=  -0.00648 
X=  988.89072, Y=  2600.30152, th=  -0.00648 
X=  989.79827, Y=  2600.29564, th=  -0.00648 
X=  990.70583, Y=  2600.28976, th=  -0.00648 
X=  991.61338, Y=  2600.28387, th=  -0.00648 
X=  992.06715, Y=  2600.28093, th=  -0.00648 
X=  992.74783, Y=  2600.27762, th=  -0.00324 
X=  993.42850, Y=  2600.27431, th=  -0.00648 
X=  994.10917, Y=  2600.27100, th=  -0.00324 
X=  994.56295, Y=  2600.26953, th=  -0.00324 
X=  994.78984, Y=  2600.26917, th=  -0.00000 
X=  995.01673, Y=  2600.26953, th=  0.00324 
X=  995.69740, Y=  2600.27284, th=  0.00648 
X=  995.92429, Y=  2600.27468, th=  0.00972 
X=  996.15117, Y=  2600.27726, th=  0.01297 
X=  996.60489, Y=  2600.28461, th=  0.01945 
X=  996.83174, Y=  2600.28939, th=  0.02269 
X=  997.05856, Y=  2600.29490, th=  0.02593 
X=  997.05856, Y=  2600.29490, th=  0.03241 
X=  997.28532, Y=  2600.30262, th=  0.03565 
X=  997.51206, Y=  2600.31108, th=  0.03890 
X=  997.73877, Y=  2600.32027, th=  0.04214 
X=  997.73877, Y=  2600.32027, th=  0.04862 
X=  997.73877, Y=  2600.32027, th=  0.05510 
X=  997.96529, Y=  2600.33313, th=  0.05834 
X=  998.19178, Y=  2600.34673, th=  0.06159 
X=  998.19178, Y=  2600.34673, th=  0.06807 
X=  998.19178, Y=  2600.34673, th=  0.07455 
X=  998.41801, Y=  2600.36400, th=  0.07779 
X=  998.41801, Y=  2600.36400, th=  0.07779 
X=  998.41801, Y=  2600.36400, th=  0.08427 
X=  998.41801, Y=  2600.36400, th=  0.09076 
X=  998.41801, Y=  2600.36400, th=  0.09076 
X=  998.41801, Y=  2600.36400, th=  0.09724 
X=  998.41801, Y=  2600.36400, th=  0.10372 
X=  998.19238, Y=  2600.34014, th=  0.10696 
X=  998.19238, Y=  2600.34014, th=  0.11345 
X=  998.19238, Y=  2600.34014, th=  0.11993 
X=  997.96716, Y=  2600.31263, th=  0.12317 
X=  997.96716, Y=  2600.31263, th=  0.12965 
X=  997.96716, Y=  2600.31263, th=  0.13614 
X=  997.74242, Y=  2600.28147, th=  0.13938 
X=  997.74242, Y=  2600.28147, th=  0.14586 
X=  997.74242, Y=  2600.28147, th=  0.15234 
X=  997.74242, Y=  2600.28147, th=  0.15882 
X=  997.74242, Y=  2600.28147, th=  0.15882 
X=  997.51856, Y=  2600.24450, th=  0.16855 
X=  997.74217, Y=  2600.28292, th=  0.17179 
X=  997.51881, Y=  2600.24305, th=  0.18151 
X=  997.74191, Y=  2600.28437, th=  0.18476 
X=  997.51908, Y=  2600.24160, th=  0.19448 
X=  997.74163, Y=  2600.28581, th=  0.19772 
X=  997.74163, Y=  2600.28581, th=  0.20420 
